sep=;
tinh;khu_vuc;loai_hinh;muc_dich;ky;gia_m2_trieu;gia_thap_trieu;gia_cao_trieu;nguon;cap_nhat;so_mau;nguon_link;mau_so;vi_tri
Đà Nẵng;;Nhà mặt phố;ban;2024-10;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2024-11;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2024-12;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-01;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-02;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-03;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-04;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-05;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-06;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-07;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-08;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-09;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-10;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-11;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2025-12;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-01;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-02;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-03;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-04;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-05;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-06;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-07;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-08;;;;;;;;san;
Đà Nẵng;;Nhà mặt phố;ban;2026-09;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2024-10;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2024-11;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2024-12;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-01;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-02;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-03;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-04;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-05;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-06;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-07;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-08;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-09;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-10;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-11;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2025-12;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-01;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-02;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-03;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-04;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-05;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-06;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-07;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-08;;;;;;;;san;
Đà Nẵng;;Nhà riêng;ban;2026-09;;;;;;;;san;
Đà Nẵng;;Đất nền / Đất nền dự án;ban;2024-10;;;;;;;;dat;
Đà Nẵng;;Đất nền / Đất nền dự án;ban;2024-11;;;;;;;;dat;
Đà Nẵng;;Đất nền / Đất nền dự án;ban;2024-12;;;;;;;;dat;
